vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=2048,mode=0] exmap:0
space: 180.615 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
93,25170,236.984,5.74219,vmcache,32,1000,tpcc,2048,94.5345,38.1279,223,54627,1470,1,2185.08
94,27619,260.707,4.86328,vmcache,32,1000,tpcc,2048,94.9929,38.3253,253,0,1245,1,0
95,26666,245.332,1.50781,vmcache,32,1000,tpcc,2048,94.8079,38.8251,252,52519,386,1,2188.29
96,26236,237.652,5.98438,vmcache,32,1000,tpcc,2048,94.4929,39.3712,209,61323,1532,1,2190.11
97,28527,261.238,0,vmcache,32,1000,tpcc,2048,94.975,39.5669,261,0,0,1,0
98,26775,244.254,5.01953,vmcache,32,1000,tpcc,2048,94.7324,40.0899,227,56610,1285,1,2177.31
99,28198,244.699,3.42188,vmcache,32,1000,tpcc,2048,94.4181,40.6526,277,63099,876,1,2175.83
100,28833,261.496,0,vmcache,32,1000,tpcc,2048,94.9015,40.8495,229,0,0,1,0
101,27417,239.648,5.05859,vmcache,32,1000,tpcc,2048,94.7073,41.3415,247,52208,1295,1,2175.33
102,27499,236.277,5.87891,vmcache,32,1000,tpcc,2048,94.5363,41.8164,247,49624,1505,1,2157.57
103,29743,257.945,6.10938,vmcache,32,1000,tpcc,2048,94.9968,42.0104,258,0,1564,1,0
104,28519,247.34,0.257812,vmcache,32,1000,tpcc,2048,94.6844,42.5825,249,64635,66,1,2154.5
105,28381,245.309,5.76172,vmcache,32,1000,tpcc,2048,94.5064,43.0763,278,51904,1475,1,2162.67
106,31094,262.371,0,vmcache,32,1000,tpcc,2048,94.9897,43.2767,239,0,0,1,0
107,28823,245.734,4.67188,vmcache,32,1000,tpcc,2048,94.811,43.7729,258,51986,1196,1,2166.08
108,29566,243.312,2.90234,vmcache,32,1000,tpcc,2048,94.5246,44.3213,231,61008,743,1,2178.86
