vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 exmap:0
space: 90.3259 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
142,65595,367.008,387.93,vmcache,32,500,tpcc,64
143,64056,366.75,379.188,vmcache,32,500,tpcc,64
144,61780,347.465,371.477,vmcache,32,500,tpcc,64
145,65529,363.961,379.164,vmcache,32,500,tpcc,64
146,63932,355.23,375.062,vmcache,32,500,tpcc,64
147,62635,354.395,375.691,vmcache,32,500,tpcc,64
148,64880,361.379,379.977,vmcache,32,500,tpcc,64
149,65105,367.664,380.562,vmcache,32,500,tpcc,64
150,64094,361.941,387.316,vmcache,32,500,tpcc,64
151,64109,359.477,371.105,vmcache,32,500,tpcc,64
152,63059,353.344,372.508,vmcache,32,500,tpcc,64
153,63874,361.414,381.012,vmcache,32,500,tpcc,64
154,64481,359.98,381.539,vmcache,32,500,tpcc,64
155,64900,360.637,376.793,vmcache,32,500,tpcc,64
156,64635,364.133,388.277,vmcache,32,500,tpcc,64
157,65163,368.996,388.879,vmcache,32,500,tpcc,64
158,65132,366.109,388.586,vmcache,32,500,tpcc,64
159,63430,361.059,373.023,vmcache,32,500,tpcc,64
160,62495,352.793,373.379,vmcache,32,500,tpcc,64
161,63833,359.715,380.66,vmcache,32,500,tpcc,64
162,63408,355.867,377.578,vmcache,32,500,tpcc,64
163,63330,351.398,371.098,vmcache,32,500,tpcc,64
164,64005,359.039,372.703,vmcache,32,500,tpcc,64
165,64388,365.961,388.027,vmcache,32,500,tpcc,64
166,64383,364.312,386.641,vmcache,32,500,tpcc,64
167,63255,360.84,374.184,vmcache,32,500,tpcc,64
168,62998,353.086,371.969,vmcache,32,500,tpcc,64
169,62777,354.867,379.562,vmcache,32,500,tpcc,64
170,64342,356.988,373.48,vmcache,32,500,tpcc,64
171,61811,350.047,371.793,vmcache,32,500,tpcc,64
172,64767,361.594,374.113,vmcache,32,500,tpcc,64
173,65205,368.344,388.973,vmcache,32,500,tpcc,64
174,64619,364.219,379.25,vmcache,32,500,tpcc,64
175,62375,353.488,372.215,vmcache,32,500,tpcc,64
176,63282,349.176,372.02,vmcache,32,500,tpcc,64
177,62422,357.484,372.648,vmcache,32,500,tpcc,64
178,62607,358.098,372.258,vmcache,32,500,tpcc,64
179,61632,343.98,363.648,vmcache,32,500,tpcc,64
180,62765,354.836,372.477,vmcache,32,500,tpcc,64
181,65370,359.734,379.391,vmcache,32,500,tpcc,64
182,64494,360.562,380.164,vmcache,32,500,tpcc,64
183,63009,358.391,372.074,vmcache,32,500,tpcc,64
184,64504,354.227,375.973,vmcache,32,500,tpcc,64
185,62560,353.816,370.047,vmcache,32,500,tpcc,64
186,63633,352.965,372.145,vmcache,32,500,tpcc,64
187,62783,353.547,371.809,vmcache,32,500,tpcc,64
188,64780,352.68,372.738,vmcache,32,500,tpcc,64
189,66748,367.156,387.875,vmcache,32,500,tpcc,64
190,66694,366.32,386.754,vmcache,32,500,tpcc,64
191,64894,357.684,379.262,vmcache,32,500,tpcc,64
192,64854,353.73,373.398,vmcache,32,500,tpcc,64
193,67541,358.691,379.961,vmcache,32,500,tpcc,64
194,67309,356.594,378.309,vmcache,32,500,tpcc,64
195,64955,345.434,372.086,vmcache,32,500,tpcc,64
196,65012,347.492,365.543,vmcache,32,500,tpcc,64
197,69128,356.746,377.742,vmcache,32,500,tpcc,64
198,69218,356.992,380.379,vmcache,32,500,tpcc,64
199,67260,349.383,372.469,vmcache,32,500,tpcc,64
200,68684,347.891,372.867,vmcache,32,500,tpcc,64
201,68441,348.008,371.84,vmcache,32,500,tpcc,64
202,68911,347.859,369.035,vmcache,32,500,tpcc,64
203,68690,341.453,370.695,vmcache,32,500,tpcc,64
204,69820,351.469,372.426,vmcache,32,500,tpcc,64
205,70719,359.266,381.121,vmcache,32,500,tpcc,64
206,71433,360.246,386.273,vmcache,32,500,tpcc,64
207,70853,355.133,379.426,vmcache,32,500,tpcc,64
208,71287,353.27,379.109,vmcache,32,500,tpcc,64
209,69675,351.004,371.387,vmcache,32,500,tpcc,64
210,69248,348.012,371.648,vmcache,32,500,tpcc,64
211,69468,341.668,371.273,vmcache,32,500,tpcc,64
212,69952,342.172,362.871,vmcache,32,500,tpcc,64
213,69662,346.488,372.086,vmcache,32,500,tpcc,64
214,71323,353.789,378.348,vmcache,32,500,tpcc,64
215,69230,341.73,370.949,vmcache,32,500,tpcc,64
216,70747,346,363.699,vmcache,32,500,tpcc,64
217,70840,350.031,380.391,vmcache,32,500,tpcc,64
218,70286,336.027,363.371,vmcache,32,500,tpcc,64
219,66297,337.305,355.91,vmcache,32,500,tpcc,64
220,69625,337.609,362.875,vmcache,32,500,tpcc,64
221,71775,345.887,372.457,vmcache,32,500,tpcc,64
222,72945,351.992,378.953,vmcache,32,500,tpcc,64
223,71018,352.195,377.5,vmcache,32,500,tpcc,64
224,72399,352.789,377.77,vmcache,32,500,tpcc,64
225,72531,353.039,378.91,vmcache,32,500,tpcc,64
226,71389,345.988,371.691,vmcache,32,500,tpcc,64
227,69597,337.57,362.395,vmcache,32,500,tpcc,64
228,69846,338.625,363.742,vmcache,32,500,tpcc,64
229,70784,339.215,369.262,vmcache,32,500,tpcc,64
230,72717,350.582,377.043,vmcache,32,500,tpcc,64
231,70465,345.32,362.207,vmcache,32,500,tpcc,64
232,71208,344,369.5,vmcache,32,500,tpcc,64
233,71981,347.441,373.688,vmcache,32,500,tpcc,64
234,72735,346.309,373.605,vmcache,32,500,tpcc,64
235,68105,336.816,353.875,vmcache,32,500,tpcc,64
236,71148,338.629,368.77,vmcache,32,500,tpcc,64
237,71217,344.473,369.668,vmcache,32,500,tpcc,64
238,73021,352.219,368.98,vmcache,32,500,tpcc,64
239,72741,349.012,376.871,vmcache,32,500,tpcc,64
240,70528,346.609,369.742,vmcache,32,500,tpcc,64
241,72900,351.242,374.305,vmcache,32,500,tpcc,64
242,73724,352.77,379.086,vmcache,32,500,tpcc,64
243,70173,336.613,358.199,vmcache,32,500,tpcc,64
244,70534,338.055,361.234,vmcache,32,500,tpcc,64
245,71481,343.648,367.461,vmcache,32,500,tpcc,64
246,71768,343.902,368.023,vmcache,32,500,tpcc,64
247,71225,337.27,367.66,vmcache,32,500,tpcc,64
248,70419,343.129,359.941,vmcache,32,500,tpcc,64
249,71559,344.73,371.66,vmcache,32,500,tpcc,64
